Trial,Week,Date,Biobest,Colony,Crithidia,Size,Size_Title,Microcolony,Dead,Alive,Fraction Dead,%Dead,key,Notes,
3,2,7/12/22,8,8a,Inoculated,45,Large (45 bees),8a45,8,37,0.177777778,17.77777778,45Inoculated,,
3,3,7/18/22,7,7a,Control,15,Small (15 bees),7aclean15,2,13,0.133333333,13.33333333,15Control,,
3,3,7/18/22,7,7a,Control,45,Large (45 bees),7aclean45,10,35,0.222222222,22.22222222,45Control,,
3,3,7/18/22,7,7a,Inoculated,15,Small (15 bees),7a15,2,13,0.133333333,13.33333333,15Inoculated,,
3,3,7/18/22,7,7a,Inoculated,45,Large (45 bees),7a45,18,27,0.4,40,45Inoculated,,
4,1,7/18/22,7,7b,Control,15,Small (15 bees),7bclean15,5,10,0.333333333,33.33333333,15Control,,
4,1,7/18/22,7,7b,Control,45,Large (45 bees),7bclean45,10,35,0.222222222,22.22222222,45Control,drowned in poop: does this count? I think I should probably omit this one …........,
4,1,7/18/22,7,7b,Inoculated,15,Small (15 bees),7b15,3,12,0.2,20,15Inoculated,,
4,1,7/18/22,7,7b,Inoculated,45,Large (45 bees),7b45,3,42,0.066666667,6.666666667,45Inoculated,,
3,3,7/19/22,8,8a,Control,15,Small (15 bees),8aclean15,5,10,0.333333333,33.33333333,15Control,,
3,3,7/19/22,8,8a,Control,45,Large (45 bees),8aclean45,10,35,0.222222222,22.22222222,45Control,,
3,3,7/19/22,8,8a,Inoculated,15,Small (15 bees),8a15,4,11,0.266666667,26.66666667,15Inoculated,,
3,3,7/19/22,8,8a,Inoculated,45,Large (45 bees),8a45,15,30,0.333333333,33.33333333,45Inoculated,,
4,1,7/19/22,8,8b,Control,15,Small (15 bees),8bclean15,6,9,0.4,40,15Control,,
4,1,7/19/22,8,8b,Control,45,Large (45 bees),8bclean45,8,37,0.177777778,17.77777778,45Control,,
4,1,7/19/22,8,8b,Inoculated,15,Small (15 bees),8b15,1,14,0.066666667,6.666666667,15Inoculated,,
4,1,7/19/22,8,8b,Inoculated,45,Large (45 bees),8b45,5,40,0.111111111,11.11111111,45Inoculated,,
4,2,7/26/22,7,7b,Control,15,Small (15 bees),7bclean15,7,8,0.466666667,46.66666667,15Control,,
4,2,7/26/22,7,7b,Control,45,Large (45 bees),7bclean45,10,35,0.222222222,22.22222222,45Control,,
4,2,7/26/22,8,8b,Control,15,Small (15 bees),8bclean15,7,8,0.466666667,46.66666667,15Control,,
4,2,7/26/22,8,8b,Control,45,Large (45 bees),8bclean45,14,31,0.311111111,31.11111111,45Control,,
4,2,7/26/22,7,7b,Inoculated,15,Small (15 bees),7b15,5,10,0.333333333,33.33333333,15Inoculated,,
4,2,7/26/22,7,7b,Inoculated,45,Large (45 bees),7b45,7,38,0.155555556,15.55555556,45Inoculated,,
4,2,7/26/22,8,8b,Inoculated,15,Small (15 bees),8b15,5,10,0.333333333,33.33333333,15Inoculated,,
4,2,7/26/22,8,8b,Inoculated,45,Large (45 bees),8b45,20,25,0.444444444,44.44444444,45Inoculated,,
4,3,8/1/22,7,7b,Control,15,Small (15 bees),7bclean15,8,7,0.533333333,53.33333333,15Control,,
4,3,8/1/22,7,7b,Control,45,Large (45 bees),7bclean45,10,34,0.222222222,22.22222222,45Control,,
4,3,8/1/22,7,7b,Inoculated,15,Small (15 bees),7b15,7,8,0.466666667,46.66666667,15Inoculated,,
4,3,8/1/22,7,7b,Inoculated,45,Large (45 bees),7b45,20,25,0.444444444,44.44444444,45Inoculated,,
4,3,8/2/22,8,8b,Control,15,Small (15 bees),8bclean15,8,7,0.533333333,53.33333333,15Control,,
4,3,8/2/22,8,8b,Control,45,Large (45 bees),8bclean45,19,26,0.422222222,42.22222222,45Control,,
4,3,8/2/22,8,8b,Inoculated,15,Small (15 bees),8b15,7,8,0.466666667,46.66666667,15Inoculated,,
4,3,8/2/22,8,8b,Inoculated,45,Large (45 bees),8b45,29,16,0.644444444,64.44444444,45Inoculated,,
5,1,8/15/22,7,7c,Inoculated,15,Small (15 bees),7c15,2,13,0.133333333,13.33333333,15Inoculated,,
5,1,8/15/22,7,7c,Inoculated,45,Large (45 bees),7c45,5,40,0.111111111,11.11111111,45Inoculated,,
5,1,8/15/22,7,7c,Control,15,Small (15 bees),7cClean15,1,14,0.066666667,6.666666667,15Control,,
5,1,8/15/22,7,7c,Control,45,Large (45 bees),7cClean45,1,44,0.022222222,2.222222222,45Control,,
5,1,8/15/22,8,8c,Inoculated,15,Small (15 bees),8c15,1,14,0.066666667,6.666666667,15Inoculated,,
5,1,8/15/22,8,8c,Inoculated,45,Large (45 bees),8c45,11,34,0.244444444,24.44444444,45Inoculated,,
5,1,8/15/22,8,8c,Control,15,Small (15 bees),8cClean15,2,13,0.133333333,13.33333333,15Control,,
5,1,8/15/22,8,8c,Control,45,Large (45 bees),8cClean45,5,40,0.111111111,11.11111111,45Control,,
5,2,8/15/22,7,7c,Inoculated,15,Small (15 bees),7c15,2,13,0.133333333,13.33333333,15Inoculated,,
5,2,8/15/22,7,7c,Inoculated,45,Large (45 bees),7c45,15,30,0.333333333,33.33333333,45Inoculated,,
5,2,8/15/22,7,7c,Control,15,Small (15 bees),7cClean15,1,14,0.066666667,6.666666667,15Control,,
5,2,8/15/22,7,7c,Control,45,Large (45 bees),7cClean45,2,43,0.044444444,4.444444444,45Control,,
5,2,8/15/22,8,8c,Inoculated,15,Small (15 bees),8c15,5,10,0.333333333,33.33333333,15Inoculated,,
5,2,8/15/22,8,8c,Inoculated,45,Large (45 bees),8c45,20,25,0.444444444,44.44444444,45Inoculated,,
5,2,8/15/22,8,8c,Control,15,Small (15 bees),8cClean15,2,13,0.133333333,13.33333333,15Control,,
5,2,8/15/22,8,8c,Control,45,Large (45 bees),8cClean45,9,36,0.2,20,45Control,,
5,3,8/30/22,7,7c,Inoculated,15,Small (15 bees),7c15,3,12,0.2,20,15Inoculated,,
5,3,8/30/22,7,7c,Inoculated,45,Large (45 bees),7c45,29,16,0.644444444,64.44444444,45Inoculated,,
5,3,8/30/22,7,7c,Control,15,Small (15 bees),7cClean15,0,15,0,0,15Control,,
5,3,8/30/22,7,7c,Control,45,Large (45 bees),7cClean45,6,39,0.133333333,13.33333333,45Control,,
5,3,8/30/22,8,8c,Inoculated,15,Small (15 bees),8c15,10,5,0.666666667,66.66666667,15Inoculated,,
5,3,8/30/22,8,8c,Inoculated,45,Large (45 bees),8c45,30,15,0.666666667,66.66666667,45Inoculated,,
5,3,8/30/22,8,8c,Control,15,Small (15 bees),8cClean15,5,10,0.333333333,33.33333333,15Control,,
5,3,8/30/22,8,8c,Control,45,Large (45 bees),8cClean45,11,34,0.244444444,24.44444444,45Control,,
6,1,9/19/22,9,9a,Inoculated,15,Small (15 bees),9a15,0,15,0,0,15Inoculated,,
6,1,9/19/22,9,9a,Inoculated,45,Large (45 bees),9a45,5,40,0.111111111,11.11111111,45Inoculated,,
6,1,9/19/22,9,9a,Control,15,Small (15 bees),9aClean15,0,15,0,0,15Control,,
6,1,9/19/22,9,9a,Control,45,Large (45 bees),9aClean45,0,45,0,0,45Control,,
6,1,9/19/22,10,10a,Inoculated,15,Small (15 bees),10a15,1,14,0.066666667,6.666666667,15Inoculated,,
6,1,9/19/22,10,10a,Inoculated,45,Large (45 bees),10a45,4,41,0.088888889,8.888888889,45Inoculated,,
6,1,9/19/22,10,10a,Control,15,Small (15 bees),10Clean15,0,15,0,0,15Control,,
6,1,9/19/22,10,10a,Control,45,Large (45 bees),10aClean45,0,45,0,0,45Control,,
6,2,9/25/22,9,9a,Inoculated,15,Small (15 bees),9a15,0,15,0,0,15Inoculated,,
6,2,9/25/22,9,9a,Inoculated,45,Large (45 bees),9a45,8,37,0.177777778,17.77777778,45Inoculated,,
6,2,9/25/22,9,9a,Control,15,Small (15 bees),9aClean15,2,13,0.133333333,13.33333333,15Control,,
6,2,9/25/22,9,9a,Control,45,Large (45 bees),9aClean45,4,41,0.088888889,8.888888889,45Control,,
6,2,9/25/22,10,10a,Inoculated,15,Small (15 bees),10a15,3,12,0.2,20,15Inoculated,,
6,2,9/25/22,10,10a,Inoculated,45,Large (45 bees),10a45,8,37,0.177777778,17.77777778,45Inoculated,,
6,2,9/25/22,10,10a,Control,15,Small (15 bees),10Clean15,0,15,0,0,15Control,,
6,2,9/25/22,10,10a,Control,45,Large (45 bees),10aClean45,1,44,0.022222222,2.222222222,45Control,,
6,3,10/1/22,9,9a,Inoculated,15,Small (15 bees),9a15,1,14,0.066666667,6.666666667,15Inoculated,,
6,3,10/1/22,9,9a,Inoculated,45,Large (45 bees),9a45,12,33,0.266666667,26.66666667,45Inoculated,,
6,3,10/1/22,9,9a,Control,15,Small (15 bees),9aClean15,3,12,0.2,20,15Control,,
6,3,10/1/22,9,9a,Control,45,Large (45 bees),9aClean45,10,35,0.222222222,22.22222222,45Control,,
6,3,10/2/22,10,10a,Inoculated,15,Small (15 bees),10a15,4,11,0.266666667,26.66666667,15Inoculated,,
6,3,10/2/22,10,10a,Inoculated,45,Large (45 bees),10a45,13,32,0.288888889,28.88888889,45Inoculated,,
6,3,10/2/22,10,10a,Control,15,Small (15 bees),10Clean15,1,14,0.066666667,6.666666667,15Control,,
6,3,10/2/22,10,10a,Control,45,Large (45 bees),10aClean45,2,43,0.044444444,4.444444444,45Control,,
